Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,EMA_20
2022-11-18,1185.8184814453125,1190.9997319984882,1173.6985088451027,1189.9725379072304,5303197,1165.7600097656252,1139.5246777343752,59.68187586897554,1167.917446527127
2022-11-21,1164.477294921875,1181.413258441568,1160.9165888885639,1181.413258441568,6390268,1166.9080993652344,1139.2430224609377,51.12352551970239,1167.5898130409125
2022-11-22,1170.9366455078125,1172.5115476255721,1157.9037056180239,1161.783907991267,6611488,1169.041082763672,1139.0572290039065,53.30606951563113,1167.908558990141
2022-11-23,1167.28466796875,1176.80266503484,1165.0934735308952,1175.4787957552544,6413408,1170.803161621094,1138.9453833007813,51.89511334243305,1167.8491407976276
2022-11-24,1177.3504638671875,1184.1522586948402,1163.2446877659072,1171.3703518394527,9389439,1173.9427185058596,1138.772370605469,55.39927016305837,1168.7540287090144
2022-11-25,1194.925537109375,1198.2579106358316,1178.7198513447252,1181.8697762735126,7349922,1177.7419128417969,1138.7527416992189,60.77231782379227,1171.2465533185725
2022-11-28,1235.9874267578125,1242.1501079495758,1142.1545139312134,1190.9540185279361,31527484,1181.8823364257812,1139.8410302734376,69.89695535474443,1177.4123507889765
2022-11-29,1238.110107421875,1246.9889910362924,1229.8018737736188,1234.3440108402901,11058913,1185.5936462402344,1141.2059521484375,70.28179163881443,1183.1930895159192
2022-11-30,1246.85205078125,1253.288707028199,1231.7192011093234,1238.247142030381,26164986,1190.1928466796874,1143.3254638671876,71.87636689695412,1189.255847731665
2022-12-01,1243.1771240234375,1257.648037723801,1239.8447507387561,1251.6222838141432,9485801,1194.2476745605468,1145.341806640625,70.17181399508917,1194.3912073785004
2022-12-02,1242.6522216796875,1254.4526976676975,1232.8147284105949,1246.235748845341,11589592,1198.0594238281249,1147.3440014648438,69.91676699896765,1198.987494454804
2022-12-05,1224.5294189453125,1240.1872774344642,1222.4980932976318,1238.0189040182454,14828536,1200.1068115234375,1148.9207421875,61.59299177922127,1201.420058691995
2022-12-06,1228.067138671875,1231.1713003979203,1214.737403586102,1216.6091015367565,8594245,1202.014959716797,1150.78416015625,62.53076236398699,1203.957875832936
2022-12-07,1209.9442138671875,1230.2583124986502,1206.1324752746186,1225.6933546542932,8462111,1203.076306152344,1152.7105737304687,55.10762690555047,1204.5280032647693
2022-12-08,1209.37353515625,1216.5634100007333,1205.1966579940977,1214.2809311328976,7757008,1204.8281066894533,1155.1930004882813,54.88666947692689,1204.9894824925293
2022-12-09,1191.04541015625,1214.2811038799705,1187.7357368415526,1207.8900896926802,12655763,1204.3099792480468,1157.1363061523439,48.202093707724174,1203.6614756033598
2022-12-12,1192.871337890625,1197.3906539089487,1180.0437880026634,1180.272120443367,9479842,1204.1741760253906,1159.6986230468751,48.87017833731318,1202.6338434402421
2022-12-13,1198.3037109375,1201.9555809304147,1189.9497141999723,1192.8713067918438,8333348,1204.5781738281248,1162.43486328125,50.899253134663006,1202.2214498685526
